MAESTRO
Clave,Descripción,Unidad,Familia,Subfamilia
V00.002,"Agua para terracerías, incluye: acarreo máximo a 4 km, no incluye descarga.",m³,,
V00.003,"Colado de concreto en cimentación incluye: acarreo, vaciado a bote, vibrado, curado con agua, perfilado, artesa y desperdicios.",m³,,
V00.060,"Fabricación de concreto con revolvedora tipo trompo de un saco de capacidad, de 320 litros incluye: equipo, cuadrilla con operador y cinco peones producción teórica de 3.5 m³/hora, eficiencia de 0.75, producción real de 3.5x0.75 de 2.63 m³/hora.",m³,,
V00.055,"Concreto hecho en obra f'c=150 kg/cm², resistencia normal, con tamaño máximo de agregado de 38 mm incluye: MATERIAL, fabricación, acarreos y desperdicios.",m³,,
V00.004,"Concreto f'c=150 kg/cm² tamaño máximo del agregado de 38 mm hecho en obra para cimentaciones y obras de urbanización incluye: MATERIAL, desperdicio, acarreo, vaciado, vibrado, artesa y curado de agua.",m³,,
V00.005,"Concreto premezclado de f'c=150 kg/cm², resistencia normal, tamaño máximo de agregado de 38 mm incluye: MATERIAL, acarreos, vaciado a bote, curado con agua, artesa y desperdicios. Nota: este concepto se aplicará únicamente con la autorización de la subdirección técnica.",m³,,
V00.006,"Concreto premezclado de f'c=200 kg/cm², resistencia normal, tamaño máximo de agregado de 19 mm incluye: MATERIAL, acarreos, vaciado a bote, curado con agua, artesa y desperdicios. Nota: este concepto se aplicará únicamente con la autorización de la subdirección técnica.",m³,,
V00.031,"Equipo de topografía para trazo y nivelación, de calles y obras exteriores.",jor,,
V00.032,"Mortero cemento arena 1:3, incluye: MATERIAL.",m³,,
V00.033,"Mortero cemento arena 1:4, incluye: MATERIAL.",m³,,
V00.034,"Mortero cemento arena 1:5, incluye: MATERIAL.",m³,,
V00.036,Andamios de caballetes construido con madera de pino de 3a. para alturas de 1.50 a 3.00 m.,uso,,
V00.037,"Cimbra común en losas con madera de pino de tercera, incluye cimbrado, descimbrado, chaflán, gotero y frentes (ochavos)",m²,,
V00.038,"Cimbra aparente en losas con madera de pino de tercera, incluye cimbrado, descimbrado, chaflán, gotero y frentes (ochavos)",m²,,
V00.039,"Acero refuerzo en estructura del No. 3, fy=4200 kg/cm², incluye: suministro, habilitado, armado, traslapes, ganchos y desperdicios.",kg,,
V00.041,Concreto hecho en obra f'c=150 kg/cm²,m³,,
V00.042,"Colado de concreto en estructura, incluye: acarreo, vaciado a bote, vibrado, curado con agua, perfilado, artesa y desperdicios.",m³,,
V00.040,"Concreto hecho en obra f'c=150 kg/cm², resistencia normal, con tamaño máximo de agregado de 20 mm para estructura, incluye: MATERIAL, desperdicio, acarreo, vaciado, vibrado, artesa y curado de agua.",m³,,
V00.043,Lechada cemento blanco agua,m³,,
V00.045,"Acarreo en camión de volteo de material producto de la excavación o cascajo a kilómetros subsecuentes, en zona urbana.",m³/km,,
V00.046,"Acarreo en camión de volteo de material producto de la excavación o cascajo a primer kilómetro, incluye: carga a manual.",m³,,
V00.050,"Acarreo en carretilla a primera estación (20.00 m), de material producto de la excavación, cascajo o agregados, dentro de la obra en terreno sin pendiente. Incluye: carga y descarga del material.",m³,,

DETALLE
Clave Básico Auxiliar,Sección,Clave Insumo,Descripción Insumo,Unidad,Cantidad
V00.002,MATERIAL,MAT-00220,Agua de toma municipal,m³,1.050000
V00.002,EQUIPO Y HERRAMIENTA,EQV00.013,"Camión pipa de 8 m3, con chasis Famsa diesel perkins 132 h. p. tanque, pasillo lateral, barra para riego de terracerías, con válvula reguladora y bomba de 3"" de diámetro, Carter de 8 l., llantas 1000-20 para ciudad y carretera.",h,0.040000
V00.002,EQUIPO Y HERRAMIENTA,EQV00.014,"Camión pipa de 8 m3, con chasis Famsa diesel perkins 132 h. p. tanque, pasillo lateral, barra para riego de terracerías, con válvula reguladora y bomba de 3"" de diámetro, Carter de 8 l., llantas 1000-20 para ciudad y carretera. (Hora inactiva)",h,0.049400
V00.003,MATERIAL,MAT-05295,"Madera de pino de 3a de 3/4"" (19mm) x 12"" (30 cm) x 8-1/4' (2.50m)",pt,0.375000
V00.003,MATERIAL,MAT-00220,Agua de toma municipal,m³,0.060000
V00.003,MANO DE OBRA,00-M0032,Cuadrilla 32 (Oficial albañil + 6 ayudantes),jor,0.153846
V00.003,EQUIPO Y HERRAMIENTA,EQV00.030,"Vibrador ""ELBA"", modelo V.G.A. con chicote de 4.00m. por 38mm. (1 1/2"") y",h,1.250000
V00.060,MANO DE OBRA,00-M0032,Cuadrilla 32 (Oficial albañil + 6 ayudantes),jor,0.058333
V00.060,EQUIPO Y HERRAMIENTA,EQV00.028,"Revolvedora ""Elba"" de un saco, tipo trompo modelo RTB-320 con capacidad de mezcla de 320.00 litros y motor de gasolina de 8 H.P., carter de 1.18 litros.",h,0.466667
V00.055,MATERIAL,MAT-00420,Arena,m³,0.544000
V00.055,MATERIAL,MAT-04195,"Grava de 1-1/2"" (38 mm)",m³,0.653000
V00.055,MATERIAL,MAT-00220,Agua de toma municipal,m³,0.260681
V00.055,MATERIAL,MAT-01435,"Cemento portland gris CPC 30R, saco de 50 kg",t,0.330000
V00.055,BASICO AUXILIAR,V00.060,"Fabricación de concreto con revolvedora tipo trompo de un saco de capacidad, de 320 litros incluye: equipo, cuadrilla con operador y cinco peones producción teórica de 3.5 m³/hora, eficiencia de 0.75, producción real de 3.5x0.75 de 2.63 m³/hora.",m³,1.000000
V00.004,BASICO AUXILIAR,V00.003,"Colado de concreto en cimentación incluye: acarreo, vaciado a bote, vibrado, curado con agua, perfilado, artesa y desperdicios.",m³,1.000000
V00.004,BASICO AUXILIAR,V00.055,"Concreto hecho en obra f'c=150 kg/cm², resistencia normal, con tamaño máximo de agregado de 38 mm incluye: MATERIAL, fabricación, acarreos y desperdicios.",m³,1.030000
V00.005,MATERIAL,112130-2005,"Concreto premezclado ""B"", f'c 150 kg/cm² resist. Normal tma 20 mm",m³,1.030000
V00.005,BASICO AUXILIAR,V00.003,"Colado de concreto en cimentación incluye: acarreo, vaciado a bote, vibrado, curado con agua, perfilado, artesa y desperdicios.",m³,1.000000
V00.006,MATERIAL,112130-2010,"Concreto premezclado ""B"", f'c 200 kg/cm² resist. Normal tma 20 mm",m³,1.030000
V00.006,BASICO AUXILIAR,V00.003,"Colado de concreto en cimentación incluye: acarreo, vaciado a bote, vibrado, curado con agua, perfilado, artesa y desperdicios.",m³,1.000000
