Categoría,Salario Nominal
Aluminero,$420.76
Auxiliar topógrafo,$222.31
Ayudante de instalación,$246.10
Ayudante oficial,$214.33
Cabo de ayudantes,$349.31
Cabo de oficios,$452.52
Cadenero,$190.54
Carpintero de banco,$404.87
Carpintero de obra negra,$333.43
Herrero de campo,$333.43
Oficial albañil,$349.31
Oficial azulejero,$357.25
Oficial colocador,$404.87
Oficial electricista,$404.87
Oficial fierrero,$325.50
Oficial pintor,$301.68
Oficial plomero,$388.98
Oficial vidriero,$317.56
Oficial yesero,$325.50
Operador de camión,$436.63
Operador de cargador,$468.39
Operador de carpeteador,$515.99
Operador de duo-pactor,$388.98
Operador de equipo ligero,$301.68
Operador de motoconformadora,$515.99
Operador de petrolizadora,$468.39
Operador de plancha,$388.98
Operador de retroexcavadora,$515.99
Operador de tractor,$515.99
Operador de vehículo con grúa,$365.16
Rastrillero,$277.85
Tornillero,$285.79
Tubero,$420.76
