Clave Cuadrilla,Descripción Cuadrilla,Sección,Descripción,Unidad,Cantidad
00-M0001,Cuadrilla 01 (Ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0001,Cuadrilla 01 (Ayudante),MANO DE OBRA,Cabo de ayudantes,jor,0.050000
00-M0001,Cuadrilla 01 (Ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0001,Cuadrilla 01 (Ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0002,Cuadrilla 02 (Oficial albañil + ayudante),MANO DE OBRA,Oficial albañil,jor,1.000000
00-M0002,Cuadrilla 02 (Oficial albañil + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0002,Cuadrilla 02 (Oficial albañil + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0002,Cuadrilla 02 (Oficial albañil + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0002,Cuadrilla 02 (Oficial albañil + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0003,Cuadrilla 03 (Oficial electricista + ayudante de instalación),MANO DE OBRA,Oficial electricista,jor,1.000000
00-M0003,Cuadrilla 03 (Oficial electricista + ayudante de instalación),MANO DE OBRA,Ayudante de instalación,jor,1.000000
00-M0003,Cuadrilla 03 (Oficial electricista + ayudante de instalación),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0003,Cuadrilla 03 (Oficial electricista + ayudante de instalación),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0003,Cuadrilla 03 (Oficial electricista + ayudante de instalación),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0004,Cuadrilla 04 (Oficial plomero + ayudante de instalación),MANO DE OBRA,Oficial plomero,jor,1.000000
00-M0004,Cuadrilla 04 (Oficial plomero + ayudante de instalación),MANO DE OBRA,Ayudante de instalación,jor,1.000000
00-M0004,Cuadrilla 04 (Oficial plomero + ayudante de instalación),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0004,Cuadrilla 04 (Oficial plomero + ayudante de instalación),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0004,Cuadrilla 04 (Oficial plomero + ayudante de instalación),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0005,Cuadrilla 05 (Oficial albañil + 2 ayudantes),MANO DE OBRA,Oficial albañil,jor,1.000000
00-M0005,Cuadrilla 05 (Oficial albañil + 2 ayudantes),MANO DE OBRA,Ayudante oficial,jor,2.000000
00-M0005,Cuadrilla 05 (Oficial albañil + 2 ayudantes),MANO DE OBRA,Cabo de oficios,jor,0.150000
00-M0005,Cuadrilla 05 (Oficial albañil + 2 ayudantes),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0005,Cuadrilla 05 (Oficial albañil + 2 ayudantes),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0006,Cuadrilla 06 (Oficial carpintero de obra negra + ayudante),MANO DE OBRA,Carpintero de obra negra,jor,1.000000
00-M0006,Cuadrilla 06 (Oficial carpintero de obra negra + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0006,Cuadrilla 06 (Oficial carpintero de obra negra + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0006,Cuadrilla 06 (Oficial carpintero de obra negra + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0006,Cuadrilla 06 (Oficial carpintero de obra negra + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0007,Cuadrilla 07 (Oficial fierrero + ayudante),MANO DE OBRA,Oficial fierrero,jor,1.000000
00-M0007,Cuadrilla 07 (Oficial fierrero + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0007,Cuadrilla 07 (Oficial fierrero + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0007,Cuadrilla 07 (Oficial fierrero + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0007,Cuadrilla 07 (Oficial fierrero + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0008,Cuadrilla 08 (Oficial herrero en campo + ayudante),MANO DE OBRA,Herrero de campo,jor,1.000000
00-M0008,Cuadrilla 08 (Oficial herrero en campo + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0008,Cuadrilla 08 (Oficial herrero en campo + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0008,Cuadrilla 08 (Oficial herrero en campo + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0008,Cuadrilla 08 (Oficial herrero en campo + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0010,Cuadrilla 10 (Oficial azulejero + ayudante),MANO DE OBRA,Oficial azulejero,jor,1.000000
00-M0010,Cuadrilla 10 (Oficial azulejero + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0010,Cuadrilla 10 (Oficial azulejero + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0010,Cuadrilla 10 (Oficial azulejero + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0010,Cuadrilla 10 (Oficial azulejero + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0012,Cuadrilla 12 (Oficial yesero + ayudante),MANO DE OBRA,Oficial yesero,jor,1.000000
00-M0012,Cuadrilla 12 (Oficial yesero + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0012,Cuadrilla 12 (Oficial yesero + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0012,Cuadrilla 12 (Oficial yesero + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0012,Cuadrilla 12 (Oficial yesero + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0013,Cuadrilla 13 (Oficial carpintero de banco + ayudante),MANO DE OBRA,Carpintero de banco,jor,1.000000
00-M0013,Cuadrilla 13 (Oficial carpintero de banco + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0013,Cuadrilla 13 (Oficial carpintero de banco + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0013,Cuadrilla 13 (Oficial carpintero de banco + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0013,Cuadrilla 13 (Oficial carpintero de banco + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0014,Cuadrilla 14 (Oficial pintor + ayudante),MANO DE OBRA,Oficial pintor,jor,1.000000
00-M0014,Cuadrilla 14 (Oficial pintor + ayudante),MANO DE OBRA,Ayudante oficial,jor,1.000000
00-M0014,Cuadrilla 14 (Oficial pintor + ayudante),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0014,Cuadrilla 14 (Oficial pintor + ayudante),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
00-M0014,Cuadrilla 14 (Oficial pintor + ayudante),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0016,Cuadrilla 16 (Tubero + ayudante de instalación),MANO DE OBRA,Tubero,jor,1.000000
00-M0016,Cuadrilla 16 (Tubero + ayudante de instalación),MANO DE OBRA,Ayudante de instalación,jor,1.000000
00-M0016,Cuadrilla 16 (Tubero + ayudante de instalación),MANO DE OBRA,Cabo de oficios,jor,0.100000
00-M0016,Cuadrilla 16 (Tubero + ayudante de instalación),EQUIPO Y HERRAMIENTA,Herramienta de mano,%mo,0.030000
00-M0016,Cuadrilla 16 (Tubero + ayudante de instalación),EQUIPO Y HERRAMIENTA,Equipo de seguridad,%mo,0.020000
