Familia,Subfamilia,Insumos_asociados,Icono
"Cementos, cales y yesos",Cemento gris,"Cemento Portland tipo I, tipo II, cemento gris a granel y en saco",familia-cementos-cales-yesos
"Cementos, cales y yesos",Cemento blanco,"Cemento blanco en saco, cemento blanco para acabados",familia-cementos-cales-yesos
"Cementos, cales y yesos",Cementos especiales,"Cemento de fraguado rápido, cemento expansivo, cemento para pozos",familia-cementos-cales-yesos
"Cementos, cales y yesos",Cal hidratada,"Cal hidratada tipo S, cal hidratada para mortero",familia-cementos-cales-yesos
"Cementos, cales y yesos",Cal viva,"Cal viva en terrón, cal viva molida",familia-cementos-cales-yesos
"Cementos, cales y yesos",Yeso de construcción,"Yeso para muros, yeso para plafones",familia-cementos-cales-yesos
"Cementos, cales y yesos",Yeso fino y estuco,"Yeso fino para acabados, estuco en polvo",familia-cementos-cales-yesos
"Cementos, cales y yesos",Paneles de yeso,"Tablaroca estándar, tablaroca resistente a la humedad, tablaroca resistente al fuego",familia-cementos-cales-yesos
"Cementos, cales y yesos",Tablacemento,"Placa de fibrocemento, tablacemento para exteriores",familia-cementos-cales-yesos
"Cementos, cales y yesos",Compuestos y cintas,"Pasta para juntas, cinta de papel, cinta malla para tablaroca",familia-cementos-cales-yesos
Agregados,Arena,"Arena de río, arena de mina, arena sílica, arena para revoltura",familia-agregados
Agregados,Grava,"Grava triturada, grava de río, grava 3/4 y 3/8",familia-agregados
Agregados,Tepetate,"Tepetate compactable, tepetate para relleno",familia-agregados
Agregados,Tezontle,"Tezontle rojo, tezontle negro, tezontle para drenaje",familia-agregados
Agregados,Tepezil,Tepezil para bases y sub-bases,familia-agregados
Agregados,Piedra braza,Piedra braza para cimentación y muros de contención,familia-agregados
Agregados,Piedra bola,Piedra bola para drenaje y decoración,familia-agregados
Agregados,Piedra para filtro,Grava y piedra graduada para filtros de agua,familia-agregados
Agregados,Bases y sub-bases,"Base hidráulica, sub-base, material para terracerías",familia-agregados
Agregados,Agregados ligeros,"Agregado de tezontle ligero, perlita, vermiculita",familia-agregados
Concretos y morteros,Concreto premezclado,"Concreto premezclado f'c 150, 200, 250, 300 kg/cm2",familia-concretos-morteros
Concretos y morteros,Concreto elaborado en obra,"Mezcla de cemento, arena, grava y agua dosificada en obra",familia-concretos-morteros
Concretos y morteros,Mortero de albañilería,Mortero cemento-arena para pega de block y tabique,familia-concretos-morteros
Concretos y morteros,Adhesivos para loseta,"Adhesivo cementoso, adhesivo flexible para loseta y azulejo",familia-concretos-morteros
Concretos y morteros,Boquillas y juntas,"Boquilla para piso, boquilla epóxica, junta de dilatación",familia-concretos-morteros
Concretos y morteros,Grouts y autonivelantes,"Grout de alta resistencia, mortero autonivelante para piso",familia-concretos-morteros
Concretos y morteros,Aditivos,"Aditivo acelerante, retardante, plastificante, impermeabilizante integral",familia-concretos-morteros
Concretos y morteros,Endurecedores y colorantes,"Endurecedor superficial para piso, colorante integral para concreto",familia-concretos-morteros
Concretos y morteros,Fibras de refuerzo,"Fibra de polipropileno, fibra metálica para concreto",familia-concretos-morteros
Concretos y morteros,Desmoldantes,Desmoldante para cimbra a base de aceite o emulsión,familia-concretos-morteros
Aceros,Varilla,"Varilla corrugada #3, #4, #5, #6, grado 42 y 60",familia-aceros
Aceros,Alambrón y alambre,"Alambrón liso, alambre recocido, alambre galvanizado",familia-aceros
Aceros,Malla electrosoldada,"Malla electrosoldada 6x6, 10x10",familia-aceros
Aceros,Perfiles estructurales,"IPR, IPS, canal C, viga estructural",familia-aceros
Aceros,Lámina,"Lámina galvanizada, lámina lisa, lámina pintro",familia-aceros
Aceros,Placa de acero,Placa de acero al carbón en distintos calibres,familia-aceros
Aceros,Canales,Canal estructural C y U,familia-aceros
Aceros,Ángulos,"Ángulo de acero LI, ángulo estructural",familia-aceros
Aceros,Soleras,Solera lisa de acero,familia-aceros
Aceros,Tubería de acero,"Tubo estructural cuadrado, rectangular y redondo, tubo cédula 40",familia-aceros
Mampostería,Block,"Block hueco, block macizo, block ligero de concreto",familia-mamposteria
Mampostería,Tabique,"Tabique rojo recocido, tabique multiperforado",familia-mamposteria
Mampostería,Adoquín,Adoquín de concreto para banquetas y estacionamientos,familia-mamposteria
Mampostería,Teja,"Teja de barro, teja de concreto, teja asfáltica",familia-mamposteria
Mampostería,Vigueta,Vigueta pretensada de concreto,familia-mamposteria
Mampostería,Bovedilla,"Bovedilla de concreto, poliestireno o barro",familia-mamposteria
Mampostería,Casetones,Casetón de poliestireno para losa aligerada,familia-mamposteria
Mampostería,Tubos de concreto,Tubo de concreto para drenaje y alcantarillado,familia-mamposteria
Mampostería,Registros y brocales,"Registro de concreto, brocal prefabricado",familia-mamposteria
Mampostería,Paneles y celosías,"Panel de concreto prefabricado, celosía decorativa",familia-mamposteria
Maderas,Polines y barrotes,"Polín de pino, barrote para cimbra",familia-maderas
Maderas,Tablón y duela de obra,Tablón de pino para andamio y cimbra,familia-maderas
Maderas,Chaflanes,Chaflán de madera para cantos de concreto,familia-maderas
Maderas,Triplay para cimbra,Triplay de pino de 19 mm para cimbra,familia-maderas
Maderas,Triplay de acabado,"Triplay decorativo, MDF, aglomerado",familia-maderas
Maderas,Tableros,"Tablero OSB, tablero de partículas",familia-maderas
Maderas,Duela de madera,Duela de madera sólida y flotante,familia-maderas
Maderas,Zoclos y molduras,"Zoclo de madera, moldura decorativa",familia-maderas
Maderas,Puertas de madera,"Puerta de tambor, puerta de madera sólida",familia-maderas
Maderas,Plafones,"Plafón de madera, plafón decorativo",familia-maderas
Impermeabilizantes,Impermeabilizante acrílico,Impermeabilizante acrílico elastomérico para azotea,familia-impermeabilizantes
Impermeabilizantes,Impermeabilizante asfáltico,"Impermeabilizante asfáltico emulsionado, chapopote",familia-impermeabilizantes
Impermeabilizantes,Mantos prefabricados,"Manto asfáltico modificado, manto autoadherible",familia-impermeabilizantes
Impermeabilizantes,Primarios e imprimantes,"Primario asfáltico, imprimante para adherencia",familia-impermeabilizantes
Impermeabilizantes,Membranas de refuerzo,"Membrana de poliéster, malla de refuerzo para impermeabilizante",familia-impermeabilizantes
Impermeabilizantes,Cristalizantes,Impermeabilizante cristalizante integral,familia-impermeabilizantes
Impermeabilizantes,Selladores,"Sellador de juntas, sellador de poliuretano",familia-impermeabilizantes
Impermeabilizantes,Bandas y waterstops,"Waterstop de PVC, banda hidrófila para juntas de colado",familia-impermeabilizantes
Impermeabilizantes,Barreras de vapor,"Membrana de polietileno, barrera de vapor para losa",familia-impermeabilizantes
Impermeabilizantes,Recubrimientos epóxicos,Recubrimiento epóxico para pisos y tanques,familia-impermeabilizantes
Pinturas y recubrimientos,Pintura vinílica,Pintura vinílica para interiores y exteriores,familia-pinturas-recubrimientos
Pinturas y recubrimientos,Esmalte,"Esmalte alquidálico, esmalte para metal",familia-pinturas-recubrimientos
Pinturas y recubrimientos,Primarios,"Primario anticorrosivo, sellador-primario para muro",familia-pinturas-recubrimientos
Pinturas y recubrimientos,Selladores de muro,"Sellador acrílico para muro, resane",familia-pinturas-recubrimientos
Pinturas y recubrimientos,Pastas y texturizados,"Pasta texturizada, acabado rústico",familia-pinturas-recubrimientos
Pinturas y recubrimientos,Estuco,"Estuco veneciano, estuco decorativo",familia-pinturas-recubrimientos
Pinturas y recubrimientos,Pintura para tráfico,Pintura para señalamiento vial,familia-pinturas-recubrimientos
Pinturas y recubrimientos,Pintura para alberca,Pintura epóxica y de caucho clorado para albercas,familia-pinturas-recubrimientos
Pinturas y recubrimientos,Barnices,"Barniz para madera, barniz marino",familia-pinturas-recubrimientos
Pinturas y recubrimientos,Thinner y solventes,"Thinner estándar, aguarrás, solvente para limpieza",familia-pinturas-recubrimientos
Pisos y azulejos,Loseta,"Loseta cerámica, loseta de porcelanato",familia-pisos-azulejos
Pisos y azulejos,Azulejo,Azulejo cerámico para muro,familia-pisos-azulejos
Pisos y azulejos,Piso vinílico,Piso vinílico en rollo y losetas,familia-pisos-azulejos
Pisos y azulejos,Piso laminado,Piso laminado tipo madera,familia-pisos-azulejos
Pisos y azulejos,Alfombra,Alfombra en rollo y en losetas modulares,familia-pisos-azulejos
Pisos y azulejos,Mosaico,"Mosaico de pasta, mosaico vítreo",familia-pisos-azulejos
Pisos y azulejos,Mármol,Placa y piso de mármol,familia-pisos-azulejos
Pisos y azulejos,Granito,Placa y piso de granito,familia-pisos-azulejos
Pisos y azulejos,Cantera y caliza,"Cantera para piso y fachada, caliza",familia-pisos-azulejos
Pisos y azulejos,Accesorios de piso,"Perfiles de remate, cenefas, guardapolvos",familia-pisos-azulejos
Cancelería y vidrio,Perfiles de aluminio,Perfil de aluminio para cancelería y ventanería,familia-canceleria-vidrio
Cancelería y vidrio,Vidrio recocido,Vidrio claro y de color recocido,familia-canceleria-vidrio
Cancelería y vidrio,Vidrio templado y laminado,"Vidrio templado de seguridad, vidrio laminado",familia-canceleria-vidrio
Cancelería y vidrio,Acrílicos y policarbonato,"Lámina de acrílico, lámina de policarbonato alveolar",familia-canceleria-vidrio
Cancelería y vidrio,Domos y tragaluces,"Domo de policarbonato, tragaluz prefabricado",familia-canceleria-vidrio
Cancelería y vidrio,Herrería y rejas,"Reja de herrería, protección metálica",familia-canceleria-vidrio
Cancelería y vidrio,Puertas y canceles,"Cancel de baño, puerta de aluminio y vidrio",familia-canceleria-vidrio
Cancelería y vidrio,Ventanas,Ventana corrediza y abatible de aluminio o PVC,familia-canceleria-vidrio
Cancelería y vidrio,Mosquiteros,Mosquitero de aluminio y fibra de vidrio,familia-canceleria-vidrio
Cancelería y vidrio,Accesorios de cancelería,"Jaladeras, rodamientos, sellos y felpas",familia-canceleria-vidrio
Instalaciones hidráulicas,Tubería PVC hidráulica,"Tubo PVC hidráulico cédula 40, RD-26",familia-instalaciones-hidraulicas
