Descripción,Unidad,Costo
"Aceite hidráulico H-300 AW 68, de 5 litros",l,$26.69
"Aceite lubricante para motor SAE 25W50, de 5 litros",l,$70.59
Adhesivo base látex 2050 (Rendimiento hasta 4.62 m2/l),l,$55.09
Agua de toma municipal,m³,$83.05
"Alambre de cobre THW-LS / THHW-LS CE RoHS, calibre 10, código 300888",m,$14.23
"Alambre ferretero galvanizado calibre 10.5, clave 4708",m,$37.27
"Alambre recocido de acero calibre 18, clave 1201",kg,$26.70
"Alambrón de acero para construcción de 1/4"", clave 2341",kg,$20.24
"Alfombra linea Luxor, color Cream Amber modelo 25026 de rizo texturizado",m²,$550.65
"Anclas de acero de 3/4"" x 75 cm, marca POLESA.",pieza,$106.33
"Ángulo de acero A-36 de 3/16"" de espesor de 1"" x 1""",kg,$15.56
"Angulo de amarre cal. 26 de acero galvanizado de 2.6 cm (1"") de ancho, 3.05 m (10') de largo",m,$6.73
Anillo precolado para registro de 0.40x0.60x1.00 m,pieza,"$1,965.89"
Arena,m³,$343.08
"Asiento elongado de cierre lento, color blanco, modelo Cadet",pieza,"$1,124.00"
"Azulejo blanco de 20x30 cm, modelo Astratto",m²,$116.38
Bajo Alfombra,m²,$13.24
Base precolada para registro de 0.40x0.60x1.00 m,pieza,$747.02
"Biodegestor autolimpiable de polietileno con capacidad de 1,300 litros",pieza,"$9,139.06"
Block de concreto de 15x20x40 cm,pieza,$9.42
"Bomba centrífuga de 1/2 HP con salida 1"" x 1"" NPT, 127v, modelo BCHP.50",pieza,"$2,152.57"
"Bomba centrífuga de 3/4 HP con salida 1"" x 1"" NPT, 127v, modelo BCHP.75",pieza,"$3,173.79"
"Bovedilla de cemento-arena de 15x70x25 cm, 18 Kg/pza",pieza,$15.97
"Bovedilla de concreto ligero de 15x63x20, peso de 115 kg/m2",pieza,$30.00
"Brazo para luminaria tipo ""C"" de 1.50 m de longitud y 1.25"" de diametro, cédula 30",pieza,$245.00
"Brida Fo.Fo. roscada de 10""(256 mm) de diámetro",pieza,$662.87
"Brida Fo.Fo. roscada de 2""(51 mm) de diámetro",pieza,$124.81
"Brida Fo.Fo. roscada de 2-1/2""(63 mm) de diámetro",pieza,$144.59
"Brida Fo.Fo. roscada de 3""(76 mm) de diámetro",pieza,$189.08
"Brida Fo.Fo. roscada de 4""(101 mm) de diámetro",pieza,$242.22
"Brida Fo.Fo. roscada de 6""(152 mm) de diámetro",pieza,$395.47
"Brida Fo.Fo. roscada de 8""(203 mm) de diámetro",pieza,$442.31
Brocal con tapa ciego de 60 cm serie 250,pieza,"$1,176.18"
Brocal pozo de visita con tapa de Fo.Fo. de 110 kg,pieza,"$1,540.00"
Brocal pozo de visita con tapa de Fo.Fo. de 130 kg,pieza,"$1,820.00"
Brocal pozo de visita con tapa de Fo.Fo. de 160 kg,pieza,"$2,240.00"
"Cal hidratada modelo cal Pirámide, saco de 25 kg",t,"$1,590.36"
"Canal metálico cal. 26 de acero galvanizado, de 4.10 cm (1-5/8"") de ancho, 3.05 m (10') de largo",pieza,$34.20
"Canal metálico cal. 26 de acero galvanizado, de 6.35 cm (2-1/2"") de ancho, 3.05 m (10') de largo",pieza,$41.04
"Canal metálico cal. 26 de acero galvanizado, de 9.20 cm (3-5/8"") de ancho, 3.05 m (10') de largo",m,$36.33
"Canaleta de carga de 1-1/2""(38 mm) x 3.05m, calibre 22",m,$9.80
"Carrete corto fofo 10"" (254 mm) de diámetro x 250 mm de longitud",pieza,"$1,897.71"
"Carrete corto fofo 2"" (51 mm) de diámetro x 250 mm de longitud",pieza,$246.00
"Carrete corto fofo 2-1/2"" (64 mm) de diámetro x 250 mm de longitud",pieza,$316.36
"Carrete corto fofo 3"" (76 mm) de diámetro x 250 mm de longitud",pieza,$286.51
"Carrete corto fofo 4"" (102 mm) de diámetro x 250 mm de longitud",pieza,$597.42
"Carrete corto fofo 6"" (152 mm) de diámetro x 250 mm de longitud",pieza,$913.62
"Carrete corto fofo 8"" (203 mm) de diámetro x 250 mm de longitud",pieza,"$1,370.49"
"Carrete largo fofo 10"" (254 mm) de diámetro x 500 mm de longitud",pieza,"$2,951.94"
"Carrete largo fofo 2"" (51 mm) de diámetro x 500 mm de longitud",pieza,$386.51
"Carrete largo fofo 2-1/2"" (64 mm) de diámetro x 500 mm de longitud",pieza,$492.04
