Clave,Descripción,Unidad,Precio,Familia
ACEEST-001,"Acero de refuerzo varilla corrugada del núm. 3, (3/8"") fyp = 4200 kg/cm2.",ton,16704,ACERO
ACEEST-008,"Acero de refuerzo, varilla corrugada del núm. 4, (1/2"") fyp = 4200 kg/cm2.",ton,16704,ACERO
ACEEST-009,"Acero de refuerzo, varilla corrugada del núm. 5, (5/8"") fyp = 4200 kg/cm2.",ton,16704,ACERO
ACEEST-010,"Acero de refuerzo, varilla corrugada del núm. 6, (3/4"") fyp = 4200 kg/cm2.",ton,16704,ACERO
ACEEST-011,"Acero de refuerzo, varilla corrugada del núm. 8, (1"") fyp = 4200 kg/cm2.",ton,16704,ACERO
ACCH-007,"Acero de refuerzo, varilla corrugada del núm. 10, (1 1/4"") fyp = 4200 kg/cm2.",ton,16800,ACERO
AACE-0007,"Ángulo de fierro de 1"" x 1/4"" de espesor.",kg,24.04,ACERO
AACE-0070,"Ángulo de fierro de 1"" x 1/8"" de espesor.",kg,24.04,ACERO
AACE-0084,"Ángulo de fierro de 2"" x 5/16"" de espesor.",kg,22.8,ACERO
AACE-0089,"Ángulo de fierro de 2"" x 3/8"" de espesor.",kg,22.8,ACERO
AACE-0018,"Cuadrado macizo de fierro de 1/2"" de diámetro (1.26 kg/cm2).",kg,21.57,ACERO
AACE-0178,"Cuadrado macizo de fierro de 1 1/2"" de diámetro y 6.10 mts. de longitud.",kg,21.57,ACERO
AACE-0028,Lámina rectangular R101 acanalada galvanizada de 1.07 x 2.44 mts. calibre 24.,pza,1316.65,ACERO
AACE-0319,Lámina rectangular R101 acanalada pintada de 1.07 x 3.05 mts. calibre 24.,pza,789.99,ACERO
AACE-0036,Lámina losacero sección 4 de 0.95 x 6.10 mts. calibre 22 peralte de 6.35 cms. (8.00 kg/cm2).,pza,1427.454,ACERO
AACE-0338,"Lámina antiderrapante fundida calibre 3/16"" de 0.91 x 2.44 mts. (3"" x 8"").",kg,21.49,ACERO
AACE-0044,"Lámina antiderrapante zarpa troquelada calibre 16 de 0.91 x 3.05 mts. (3"" x 10"").",kg,17.6167,ACERO
AACE-0331,"Lámina antiderrapante calibre 11 de 0.91 x 2.44 mts. (3"" x 8"").",kg,21.49,ACERO
AACE-0334,"Lámina antiderrapante calibre 14 de 0.91 x 2.44 mts. (3"" x 10"").",kg,21.49,ACERO
AACE-0381,Lámina galvanizada lisa de 1.22 x 3.05 mts. calibre 28.,pza,90.06,ACERO
ACEL-025,Lamina pintro lisa calibre 26 de 1.22 x 3.05 mts.,pza,484.83,ACERO
AACE-0199,Lámina tablero zintro calibre 20 0.98 x 1.22 mts.,pza,30.4,ACERO
FREY-001,"Conector para varilla del número 6 (3/4"") marca Freyssinet",pza,71.19,ACERO
FREY-002,"Conector para varilla del número 8 (1"") marca Freyssinet.",pza,83.055,ACERO
FREY-003,"Conector para varilla del número 10 (1 1/4"") marca Freyssinet.",pza,142.38,ACERO
FREY-004,"Conector para varilla del número 12 (1 1/2"") marca Freyssinet.",pza,243.515,ACERO
FREY-005,"Reductor para varilla del número 10 (1 1/4"") al 8 (1"") marca Freyssinet.",pza,452,ACERO
FREY-006,"Reductor para varilla del número 12 (1 1/2"") al 10 (1 1/4"") marca Freyssinet.",pza,621.5,ACERO
