Descripción,Costo
"Aceite hidráulico H-300 AW 68, de 5 litros",$72.25
"Aceite lubricante para motor SAE 25W50, de 5 litros",$134.70
Adhesivo base látex 2050 (Rendimiento hasta 4.62 m2/l),$65.79
Agua de toma municipal,$105.05
"Alambre de cobre THW-LS / THHW-LS CE RoHS, calibre 10, código 300888",$11.58
"Alambre ferretero galvanizado calibre 10.5, clave 4708",$40.87
"Alambre recocido de acero calibre 18, clave 1201",$22.03
"Alambrón de acero para construcción de 1/4"", clave 2341",$18.26
"Alfombra linea Luxor, color Cream Amber modelo 25026 de rizo texturizado",$687.41
"Anclas de acero de 3/4"" x 75 cm, marca POLESA.",$129.58
"Ángulo de acero A-36 de 3/16"" de espesor de 1"" x 1""",$25.83
"Angulo de amarre cal. 26 de acero galvanizado de 2.6 cm (1"") de ancho, 3.05 (10') de largo",$8.60
Anillo precolado para registro de 0.40x0.60x1.00,"$2,623.81"
Arena,$397.94
"Asiento elongado de cierre lento, color blanco, modelo Cadet EL",$983.93
"Azulejo blanco de 20 x 30 cm, modelo Astratto, marca Interceramic",$145.68
Bajo Alfombra,$10.41
Base precolada para registro de 0.40x0.60x1.00,$968.41
"Biodegestor autolimpiable de polietileno con capacidad de 1,300 litros","$11,753.15"
Block de concreto de 15x20x40 cm,$10.87
"Bomba centrífuga de 1/2 HP con salida 1"" x 1"" NPT, 127v, modelo BCHP.50","$2,225.62"
"Bomba centrífuga de 3/4 HP con salida 1"" x 1"" NPT, 127v, modelo BCHP.75","$3,847.41"
"Bovedilla de cemento-arena de 15x70x25 cm, 18 Kg/pza",$21.79
"Bovedilla de concreto ligero de 15x63x20, peso de 115 kg/m2",$33.79
"Brazo para luminaria tipo ""C"" de 1.50 de longitud y 1.25"" de diametro, cédula 30",$259.72
"Brida Fo.Fo. roscada de 10""(256 mm) de diámetro","$3,088.37"
"Brida Fo.Fo. roscada de 2""(51 mm) de diámetro",$436.53
"Brida Fo.Fo. roscada de 2-1/2""(63 mm) de diámetro",$557.92
"Brida Fo.Fo. roscada de 3""(76 mm) de diámetro",$707.90
"Brida Fo.Fo. roscada de 4""(101 mm) de diámetro",$902.54
"Brida Fo.Fo. roscada de 6""(152 mm) de diámetro","$1,340.10"
"Brida Fo.Fo. roscada de 8""(203 mm) de diámetro","$1,913.51"
Brocal con tapa ciego de 60 cm serie 250,"$1,387.69"
Brocal pozo de visita con tapa de Fo.Fo. de 110 kg,"$6,426.63"
Brocal pozo de visita con tapa de Fo.Fo. de 130 kg,"$7,328.62"
Brocal pozo de visita con tapa de Fo.Fo. de 160 kg,"$9,458.99"
"Cal hidratada modelo cal Pirámide, saco de 25 kg","$3,078.67"
"Canal metálico cal. 26 de acero galvanizado, de 4.10 cm (1-5/8"") de ancho, 3.05 (10') de largo",$46.58
"Canal metálico cal. 26 de acero galvanizado, de 6.35 cm (2-1/2"") de ancho, 3.05 (10') de largo",$56.65
"Canal metálico cal. 26 de acero galvanizado, de 9.20 cm (3-5/8"") de ancho, 3.05 (10') de largo",$24.83
"Canaleta de carga de 1-1/2""(38 mm) x 3.05m, calibre 22",$22.47
"Carrete corto fofo 10"" (254 mm) de diámetro x 250 mm de longitud","$7,622.16"
"Carrete corto fofo 2"" (51 mm) de diámetro x 250 mm de longitud","$1,155.11"
"Carrete corto fofo 2-1/2"" (64 mm) de diámetro x 250 mm de longitud","$1,431.40"
"Carrete corto fofo 3"" (76 mm) de diámetro x 250 mm de longitud","$1,917.51"
"Carrete corto fofo 4"" (102 mm) de diámetro x 250 mm de longitud","$2,320.05"
"Carrete corto fofo 6"" (152 mm) de diámetro x 250 mm de longitud","$3,467.36"
"Carrete corto fofo 8"" (203 mm) de diámetro x 250 mm de longitud","$5,656.74"
"Carrete largo fofo 10"" (254 mm) de diámetro x 500 mm de longitud","$11,559.78"
"Carrete largo fofo 2"" (51 mm) de diámetro x 500 mm de longitud","$1,660.51"
"Carrete largo fofo 2-1/2"" (64 mm) de diámetro x 500 mm de longitud","$2,247.42"
"Carrete largo fofo 3"" (76 mm) de diámetro x 500 mm de longitud","$2,917.26"
"Carrete largo fofo 4"" (102 mm) de diámetro x 500 mm de longitud","$3,722.11"
"Carrete largo fofo 6"" (152 mm) de diámetro x 500 mm de longitud","$5,352.11"
"Carrete largo fofo 8"" (203 mm) de diámetro x 500 mm de longitud","$9,184.24"
"Cemento flexible Basecoat, saco de 20 kg",$18.22
