Descripción,Unidad,Costo,Familia,Subfamilia
"Aceite hidráulico H-300 AW 68, de 5 litros",l,$87.43,Combustibles y lubricantes,Aceites hidráulicos
"Aceite lubricante para motor SAE 25W50, de 5 litros",l,$162.99,Combustibles y lubricantes,Aceites de motor
Adhesivo base látex 2050 (Rendimiento hasta 4.62 m2/l),l,$79.61,Concretos y morteros,Adhesivos para loseta
Agua de toma municipal,m³,$127.12,Instalaciones hidráulicas,Agua
"Alambre de cobre THW-LS / THHW-LS CE RoHS, calibre 10, código 300888",m,$14.01,Instalaciones eléctricas,Conductores
"Alambre ferretero galvanizado calibre 10.5, clave 4708",m,$49.46,Aceros,Alambrón y alambre
"Alambre recocido de acero calibre 18, clave 1201",kg,$26.65,Aceros,Alambrón y alambre
"Alambrón de acero para construcción de 1/4"", clave 2341",kg,$22.10,Aceros,Alambrón y alambre
"Alfombra linea Luxor, color Cream Amber modelo 25026 de rizo texturizado",m²,$831.77,Pisos y azulejos,Alfombra
"Anclas de acero de 3/4"" x 75 cm, marca POLESA.",Pieza,$156.79,Ferretería,Anclas y taquetes
"Ángulo de acero A-36 de 3/16"" de espesor de 1"" x 1""",kg,$31.25,Aceros,Ángulos
"Angulo de amarre cal. 26 de acero galvanizado de 2.6 cm (1"") de ancho, 3.05 (10') de largo",m,$10.41,Aceros,Ángulos
Anillo precolado para registro de 0.40x0.60x1.00,Pieza,"$3,174.81",Mampostería,Registros y brocales
Arena,m³,$481.50,Agregados,Arena
"Asiento elongado de cierre lento, color blanco, modelo Cadet EL",Pieza,"$1,190.55",Instalaciones sanitarias,Accesorios sanitarios
"Azulejo blanco de 20 x 30 cm, modelo Astratto, marca Interceramic",m²,$176.28,Pisos y azulejos,Azulejo
Bajo Alfombra,m²,$12.60,Pisos y azulejos,Alfombra
Base precolada para registro de 0.40x0.60x1.00,Pieza,"$1,171.78",Mampostería,Registros y brocales
"Biodegestor autolimpiable de polietileno con capacidad de 1,300 litros",Pieza,"$14,221.32",Instalaciones sanitarias,Fosas sépticas
Block de concreto de 15x20x40 cm,Pieza,$13.16,Mampostería,Block
"Bomba centrífuga de 1/2 HP con salida 1"" x 1"" NPT, 127v, modelo BCHP.50",Pieza,"$2,693.00",Instalaciones hidráulicas,Bombas de agua
"Bomba centrífuga de 3/4 HP con salida 1"" x 1"" NPT, 127v, modelo BCHP.75",Pieza,"$4,655.37",Instalaciones hidráulicas,Bombas de agua
"Bovedilla de cemento-arena de 15x70x25 cm, 18 Kg/pza",Pieza,$26.37,Mampostería,Bovedilla
"Bovedilla de concreto ligero de 15x63x20, peso de 115 kg/m2",Pieza,$40.89,Mampostería,Bovedilla
"Brazo para luminaria tipo ""C"" de 1.50 de longitud y 1.25"" de diametro, cédula 30",Pieza,$314.26,Instalaciones eléctricas,Postes y brazos
"Brida Fo.Fo. roscada de 10""(256 mm) de diámetro",Pieza,"$3,736.93",Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 2""(51 mm) de diámetro",Pieza,$528.20,Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 2-1/2""(63 mm) de diámetro",Pieza,$675.08,Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 3""(76 mm) de diámetro",Pieza,$856.56,Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 4""(101 mm) de diámetro",Pieza,"$1,092.07",Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 6""(152 mm) de diámetro",Pieza,"$1,621.52",Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 8""(203 mm) de diámetro",Pieza,"$2,315.35",Instalaciones hidráulicas,Conexiones
Brocal con tapa ciego de 60 cm serie 250,Pieza,"$1,679.11",Mampostería,Registros y brocales
Brocal pozo de visita con tapa de Fo.Fo. de 110 kg,Pieza,"$7,776.22",Mampostería,Registros y brocales
Brocal pozo de visita con tapa de Fo.Fo. de 130 kg,Pieza,"$8,867.63",Mampostería,Registros y brocales
Brocal pozo de visita con tapa de Fo.Fo. de 160 kg,Pieza,"$11,445.38",Mampostería,Registros y brocales
"Cal hidratada modelo cal Pirámide, saco de 25 kg",t,"$3,725.19","Cementos, cales y yesos",Cal hidratada
"Canal metálico cal. 26 de acero galvanizado, de 4.10 cm (1-5/8"") de ancho, 3.05 (10') de largo",Pieza,$56.36,Aceros,Canales
"Canal metálico cal. 26 de acero galvanizado, de 6.35 cm (2-1/2"") de ancho, 3.05 (10') de largo",Pieza,$68.55,Aceros,Canales
"Canal metálico cal. 26 de acero galvanizado, de 9.20 cm (3-5/8"") de ancho, 3.05 (10') de largo",m,$30.04,Aceros,Canales
"Canaleta de carga de 1-1/2""(38 mm) x 3.05m, calibre 22",m,$27.19,Instalaciones eléctricas,Charolas y escalerillas
"Carrete corto fofo 10"" (254 mm) de diámetro x 250 mm de longitud",Pieza,"$9,222.82",Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 2"" (51 mm) de diámetro x 250 mm de longitud",Pieza,"$1,397.68",Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 2-1/2"" (64 mm) de diámetro x 250 mm de longitud",Pieza,"$1,731.99",Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 3"" (76 mm) de diámetro x 250 mm de longitud",Pieza,"$2,320.19",Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 4"" (102 mm) de diámetro x 250 mm de longitud",Pieza,"$2,807.27",Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 6"" (152 mm) de diámetro x 250 mm de longitud",Pieza,"$4,195.51",Instalaciones hidráulicas,Conexiones
