Familia,Subfamilia,Icono,Insumos asociados
"Cementos, cales y yesos",Cemento gris,familia-cementos-cales-yesos,"Cemento Portland tipo I, tipo II, cemento gris a granel y en saco"
"Cementos, cales y yesos",Cemento blanco,familia-cementos-cales-yesos,"Cemento blanco en saco, cemento blanco para acabados"
"Cementos, cales y yesos",Cementos especiales,familia-cementos-cales-yesos,"Cemento de fraguado rápido, cemento expansivo, cemento para pozos"
"Cementos, cales y yesos",Cal hidratada,familia-cementos-cales-yesos,"Cal hidratada tipo S, cal hidratada para mortero"
"Cementos, cales y yesos",Cal viva,familia-cementos-cales-yesos,"Cal viva en terrón, cal viva molida"
"Cementos, cales y yesos",Yeso de construcción,familia-cementos-cales-yesos,"Yeso para muros, yeso para plafones"
"Cementos, cales y yesos",Yeso fino y estuco,familia-cementos-cales-yesos,"Yeso fino para acabados, estuco en polvo"
"Cementos, cales y yesos",Paneles de yeso,familia-cementos-cales-yesos,"Tablaroca estándar, tablaroca resistente a la humedad, tablaroca resistente al fuego"
"Cementos, cales y yesos",Tablacemento,familia-cementos-cales-yesos,"Placa de fibrocemento, tablacemento para exteriores"
"Cementos, cales y yesos",Compuestos y cintas,familia-cementos-cales-yesos,"Pasta para juntas, cinta de papel, cinta malla para tablaroca"
Agregados,Arena,familia-agregados,"Arena de río, arena de mina, arena sílica, arena para revoltura"
Agregados,Grava,familia-agregados,"Grava triturada, grava de río, grava 3/4 y 3/8"
Agregados,Tepetate,familia-agregados,"Tepetate compactable, tepetate para relleno"
Agregados,Tezontle,familia-agregados,"Tezontle rojo, tezontle negro, tezontle para drenaje"
Agregados,Tepezil,familia-agregados,Tepezil para bases y sub-bases
Agregados,Piedra braza,familia-agregados,Piedra braza para cimentación y muros de contención
Agregados,Piedra bola,familia-agregados,Piedra bola para drenaje y decoración
Agregados,Piedra para filtro,familia-agregados,Grava y piedra graduada para filtros de agua
Agregados,Bases y sub-bases,familia-agregados,"Base hidráulica, sub-base, material para terracerías"
Agregados,Agregados ligeros,familia-agregados,"Agregado de tezontle ligero, perlita, vermiculita"
Concretos y morteros,Concreto premezclado,familia-concretos-morteros,"Concreto premezclado f'c 150, 200, 250, 300 kg/cm2"
Concretos y morteros,Concreto elaborado en obra,familia-concretos-morteros,"Mezcla de cemento, arena, grava y agua dosificada en obra"
Concretos y morteros,Mortero de albañilería,familia-concretos-morteros,Mortero cemento-arena para pega de block y tabique
Concretos y morteros,Adhesivos para loseta,familia-concretos-morteros,"Adhesivo cementoso, adhesivo flexible para loseta y azulejo"
Concretos y morteros,Boquillas y juntas,familia-concretos-morteros,"Boquilla para piso, boquilla epóxica, junta de dilatación"
Concretos y morteros,Grouts y autonivelantes,familia-concretos-morteros,"Grout de alta resistencia, mortero autonivelante para piso"
